link,price_num,bedroom,bedroom_num,bathroom_num,area,latitude,longitude,posing time,update time,available time
http://boston.craigslist.org/gbs/fee/6104623121.html,3100,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  9:25pm,2017-04-30 10:34pm,available sep 1
http://boston.craigslist.org/gbs/fee/6104620965.html,3200,3BR / 1Ba,3,1,1ft2,42.377137,-71.104984,2017-04-25  9:23pm,2017-04-30 10:34pm,available sep 1
http://boston.craigslist.org/gbs/nfb/6076834089.html,3200,3BR / 1Ba,3,1,available sep 1,42.377137,-71.104984,2017-04-06 12:56pm,2017-04-30 11:03am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6091228742.html,3250,3BR / 1Ba,3,1,available sep 1,42.377238,-71.103502,2017-04-16  9:07pm,2017-04-28  7:32pm,apartment
http://boston.craigslist.org/gbs/fee/6093770307.html,3250,3BR / 1Ba,3,1,available sep 1,42.377238,-71.103502,2017-04-18  3:19pm,2017-04-25  7:02pm,apartment
http://boston.craigslist.org/gbs/fee/6099497365.html,3300,3BR / 1Ba,3,1,available sep 1,42.377238,-71.103502,2017-04-22 12:58pm,2017-04-28  7:42pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6096469753.html,3400,3BR / 2Ba,3,2,available may 1,42.377382,-71.133711,2017-04-20 12:22pm,2017-04-30 12:53pm,apartment
http://boston.craigslist.org/gbs/fee/6096198178.html,3400,3BR / 2Ba,3,2,available may 1,42.377429,-71.133381,2017-04-20  9:33am,2017-04-30  6:29pm,apartment
http://boston.craigslist.org/gbs/fee/6093916706.html,3400,3BR / 2Ba,3,2,available may 1,42.377476,-71.132924,2017-04-18  4:52pm,2017-05-01  5:47pm,apartment
http://boston.craigslist.org/gbs/fee/6103664647.html,3400,3BR / 2Ba,3,2,available jun 1,42.377476,-71.132924,2017-04-25 11:03am,2017-05-01  5:47pm,apartment
http://boston.craigslist.org/gbs/fee/6095171025.html,3400,3BR / 2Ba,3,2,available may 1,42.377527,-71.131552,2017-04-19  2:15pm,2017-05-01  3:27pm,apartment
http://boston.craigslist.org/gbs/fee/6095172233.html,3400,3BR / 2Ba,3,2,available may 1,42.377527,-71.131552,2017-04-19  2:16pm,2017-05-01  3:27pm,apartment
http://boston.craigslist.org/gbs/fee/6096202061.html,3400,3BR / 2Ba,3,2,available may 1,42.377527,-71.131552,2017-04-20  9:36am,2017-04-30  6:29pm,apartment
http://boston.craigslist.org/gbs/fee/6075731347.html,3200,3BR / 1Ba,3,1,available sep 1,42.377566,-71.104248,2017-04-05  4:32pm,2017-04-28 11:11am,apartment
http://boston.craigslist.org/bmw/fee/6078143751.html,3300,3BR / 1Ba,3,1,available sep 1,42.37761,-71.104172,2017-04-07 11:46am,2017-04-26 11:02am,apartment
http://boston.craigslist.org/gbs/nfb/6102586626.html,3000,3BR / 1Ba,3,1,1050ft2,42.37761,-71.104172,2017-04-24  3:33pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6095886743.html,3300,3BR / 1Ba,3,1,available sep 1,42.377695,-71.104031,2017-04-19 11:33pm,2017-04-30  1:48pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6103969261.html,2900,3BR / 1Ba,3,1,available jun 1,42.37779,-71.102829,2017-04-25  1:51pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6096945976.html,2900,3BR / 1Ba,3,1,available jun 1,42.37779,-71.102829,2017-04-20  5:11pm,2017-04-30  7:47am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6102351695.html,3000,3BR / 1Ba,3,1,available jun 1,42.378087,-71.107272,2017-04-24  1:21pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6102264115.html,3000,3BR / 1Ba,3,1,available jun 1,42.378087,-71.107272,2017-04-24 12:33pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6103122460.html,3000,3BR / 1Ba,3,1,available jun 1,42.378087,-71.107272,2017-04-24 10:05pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6102752630.html,3000,3BR / 1Ba,3,1,available jun 1,42.378087,-71.107272,2017-04-24  5:15pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6102675163.html,3000,3BR / 1Ba,3,1,available jun 1,42.378087,-71.107272,2017-04-24  4:26pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6098113074.html,3500,3BR / 1Ba,3,1,available sep 1,42.378254,-71.09169,2017-04-21  1:57pm,2017-04-30  6:40pm,apartment
http://boston.craigslist.org/gbs/fee/6092811513.html,3150,3BR / 1Ba,3,1,available jun 1,42.378254,-71.09169,2017-04-17 10:08pm,2017-04-27  8:50pm,apartment
http://boston.craigslist.org/gbs/fee/6098189158.html,3175,3BR / 1Ba,3,1,available sep 1,42.378254,-71.09169,2017-04-21  2:41pm,2017-05-01  8:22pm,apartment
http://boston.craigslist.org/gbs/fee/6067219475.html,3175,3BR / 1Ba,3,1,available sep 1,42.378254,-71.09169,2017-03-30  6:08pm,2017-04-28  4:28pm,apartment
http://boston.craigslist.org/gbs/fee/6104116340.html,2800,3BR / 1Ba,3,1,available mar 1,42.378497,-71.104093,2017-04-25  3:16pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6104090147.html,2800,3BR / 1Ba,3,1,available mar 1,42.378497,-71.104093,2017-04-25  3:00pm,email to friend,cats are OK - purrr
